6	12	2	4	2	4	1	0	0
609	382	159	540	-69	944	1	0	0
-87	-393	-11	-195	-203	-389	1	0	0
-294	-428	-6	-280	138	-406	1	0	0
262	109	266	201	-150	535	1	0	0
354	55	-146	-119	-352	-247	1	0	0
170	-301	144	-139	192	-11	1	0	0
-22	-60	-386	-582	-194	-510	1	0	0
-194	-78	110	34	96	-446	1	0	0
-145	25	-45	57	-57	-201	1	0	0
-497	74	-417	448	-501	544	1	0	0
81	126	155	-64	15	-190	1	0	0
344	39	174	303	-632	707	1	0	0
5	-521	341	-421	1645	473	1	0	0
ACQUISITION SUCCESS!!! NEXT STEP IS CONFIRMATION.

996	-814	792	-2326	110	-2002	0	0	0
-1618	369	-1728	-57	-834	45	0	0	0
82	1821	358	2059	100	541	0	0	0
1430	-383	1418	-389	864	149	0	0	0
CONFIRMATION SUCCESS!!! NEXT STEP IS PULL-IN.

-1162	-1455	-1194	-1839	-308	-943	0	0	0
-1556	1315	-1244	819	-382	299	0	54134359	22884100
1145	1228	1671	1436	549	770	0	54134518	22884111
770	-1906	620	-1674	362	-566	0	54134209	22884103
-1689	-655	-2183	-1033	-1073	-393	0	54134412	22884112
-471	1873	-227	1971	-135	711	0	54134105	22884104
1751	211	1963	417	1075	201	0	54134308	22884111
404	-2186	40	-2134	-368	-924	0	54134017	22884106
-1622	540	-1412	390	-412	-24	0	54134167	22884098
-218	1802	516	1876	332	714	0	54134359	22884105
1967	-541	2145	-357	503	-131	0	54134115	22884098
960	1666	894	1704	224	688	0	54134327	22884102
1249	-1035	1797	-791	705	249	0	54134076	22884104
-1356	-1620	-1462	-1220	-490	-346	0	54134213	22884097
-2015	1139	-1945	1025	-415	415	0	54134012	22884096
1268	1606	986	1834	436	878	0	54134202	22884104
1362	-1696	888	-1422	38	-210	0	54133878	22884087
-1581	-1757	-1663	-1425	-807	-615	0	54134092	22884101
-1548	1522	-1420	1506	-498	586	0	54133834	22884098
1512	1294	1732	1226	606	398	0	54134008	22884098
1282	-1632	938	-1500	602	-164	0	54133736	22884095
-1590	-1522	-1276	-1570	82	-418	0	54133978	22884090
-1073	1499	-1421	1923	-863	915	0	54133686	22884106
1781	877	1961	943	1165	653	0	54133851	22884106
1118	-1764	1226	-1780	414	-632	0	54133612	22884096
-1939	-1447	-1849	-1219	-465	-285	0	54133798	22884090
-1659	1605	-1841	1505	-1191	181	0	54133581	22884100
1573	1371	1609	1125	513	147	0	54133741	22884090
1432	-1258	1266	-1050	228	-368	0	54133518	22884089
